question,answer
Что такое ионизирующее излучение?,"Ионизирующее излучение — это излучение, которое может выбивать электроны из атомов и молекул, образуя ионы. Учебно различают альфа-, бета-, гамма- и нейтронное; в симуляторе используется абстрактная «мощность дозы»."
Что такое фоновая радиация?,"Фон — естественный уровень излучения от космических лучей, земных пород, материалов и т. п."
Чем отличается доза от мощности дозы?,Доза — накопленное количество энергии; мощность дозы — скорость её накопления.
Почему D уменьшается с расстоянием?,По закону обратных квадратов: интенсивность убывает как 1/r².
Правило «время–расстояние–экранирование»?,"Сократить время, увеличить расстояние, использовать экраны."
Почему свинец часто используют как экран?,Высокая плотность и Z → эффективно для гамма-компоненты.
Чем экранирование бета отличается от гамма?,"Для бета предпочтительны низко-Z материалы (акрил, вода), свинец может усиливать тормозное излучение — в модели это отражено μ."
Почему несколько тонких слоёв экрана работают как один толстый?,"Ослабление экспоненциально: exp(−μx), суммы μx аддитивны."
Что значит μ в модели?,Учебный коэффициент ослабления на см материала; зависит от вида излучения.
Нейтроны и экранирование?,"Водородсодержащие материалы (вода, бетон) эффективнее; свинец слабее."
